customer_id,customer_name,email,registration_date,customer_type
CUST0001,Arjun Sharma,arjun.sharma1@yahoo.com,2025-01-05,REGULAR
CUST0002,Rohan Pawar,rohan.pawar2@gmail.com,2025-01-06,VIP
CUST0003,Sahil Patil,sahil.patil3@example.com,2025-01-07,REGULAR
CUST0004,Aditya Kulkarni,aditya.kulkarni4@outlook.com,2025-01-08,VIP
CUST0005,Aarav Reddy,aarav.reddy5@outlook.com,2026-01-02,VIP
CUST0006,Sahil Singh,sahil.singh6@outlook.com,2025-08-18,VIP
CUST0007,Ananya Jadhav,ananya.jadhav7@gmail.com,2026-01-24,REGULAR
CUST0008,Kavya Verma,kavya.verma8@yahoo.com,2025-03-21,REGULAR
CUST0009,Meera Patil,meera.patil9@gmail.com,2025-07-14,REGULAR
CUST0010,Isha Khan,isha.khan10@yahoo.com,2025-11-06,PREMIUM
CUST0011,Vivaan Pawar,vivaan.pawar11@example.com,2025-10-02,REGULAR
CUST0012,Sneha Patil,sneha.patil12@yahoo.com,2026-03-01,VIP
CUST0013,Vikram Mishra,vikram.mishra13@yahoo.com,2025-10-23,REGULAR
CUST0014,Aditya Sharma,aditya.sharma14@outlook.com,2026-01-31,PREMIUM
CUST0015,Aditya Khan,aditya.khan15@outlook.com,2026-03-20,REGULAR
CUST0016,Sneha Joshi,sneha.joshi16@example.com,2025-11-22,PREMIUM
CUST0017,Ishaan Verma,ishaan.verma17@yahoo.com,2025-04-18,VIP
CUST0018,Ananya Pawar,ananya.pawar18@gmail.com,2025-11-08,VIP
CUST0019,Ishaan Reddy,ishaan.reddy19@outlook.com,2025-03-25,PREMIUM
CUST0020,Sneha Joshi,sneha.joshi20@outlook.com,2025-12-17,PREMIUM
CUST0021,Vivaan Kulkarni,vivaan.kulkarni21@gmail.com,2026-02-17,PREMIUM
CUST0022,Sneha Joshi,sneha.joshi22@gmail.com,2025-04-19,VIP
CUST0023,Meera Kulkarni,meera.kulkarni23@example.com,2025-07-22,VIP
CUST0024,Riya Deshmukh,riya.deshmukh24@yahoo.com,2025-03-13,REGULAR
CUST0025,Sahil Reddy,sahil.reddy25@yahoo.com,2026-01-18,VIP
CUST0026,Kavya Mishra,kavya.mishra26@example.com,2025-07-05,REGULAR
CUST0027,Rohan Reddy,rohan.reddy27@example.com,2025-02-16,REGULAR
CUST0028,Arjun Deshmukh,arjun.deshmukh28@outlook.com,2026-02-10,VIP
CUST0029,Kavya Nair,kavya.nair29@gmail.com,2025-07-17,PREMIUM
CUST0030,Vikram Gupta,vikram.gupta30@yahoo.com,2026-05-13,VIP
CUST0031,Aarav Mehta,aarav.mehta31@gmail.com,2025-12-16,VIP
CUST0032,Ananya Jadhav,ananya.jadhav32@yahoo.com,2025-02-27,PREMIUM
CUST0033,Kavya Deshmukh,kavya.deshmukh33@example.com,2025-01-02,VIP
CUST0034,Ananya Reddy,ananya.reddy34@outlook.com,2025-09-17,REGULAR
CUST0035,Priya Khan,priya.khan35@outlook.com,2025-03-20,PREMIUM
CUST0036,Ishaan Reddy,ishaan.reddy36@gmail.com,2025-11-03,PREMIUM
CUST0037,Aditi Sharma,aditi.sharma37@gmail.com,2026-04-21,PREMIUM
CUST0038,Priya Kulkarni,priya.kulkarni38@gmail.com,2025-05-04,VIP
CUST0039,Aditya Patil,aditya.patil39@example.com,2026-02-22,REGULAR
CUST0040,Sahil Jadhav,sahil.jadhav40@outlook.com,2025-03-07,VIP
